Do you feel nervous or anxious often?,Do you experience sudden panic attacks?,Do you have trouble relaxing or staying calm?,Do you avoid social situations due to anxiety?,Do you experience excessive worry about different things?,Do you have difficulty sleeping due to anxiety?,Do you feel lightheaded or dizzy when anxious?,Do you experience a racing heart or shortness of breath?,Do you have trouble concentrating due to anxiety?,Do you feel a sense of impending doom or danger?,Anxiety_Level
5,3,2,5,2,4,3,2,2,2,Severe Anxiety
2,5,1,5,1,4,4,2,5,4,Mild Anxiety
5,3,1,3,2,4,3,1,1,1,No Anxiety
2,2,2,3,1,1,2,3,1,3,No Anxiety
5,3,5,3,1,3,2,2,1,2,Severe Anxiety
1,2,5,2,4,2,2,2,3,3,Mild Anxiety
4,5,1,5,5,4,3,5,1,5,Extreme Anxiety
2,5,5,2,2,1,5,1,4,3,Moderate Anxiety
5,3,5,5,2,4,2,2,5,1,Extreme Anxiety
5,3,2,1,3,1,1,2,3,2,Mild Anxiety
5,4,1,4,3,3,5,2,3,4,Moderate Anxiety
1,2,3,1,5,2,5,2,3,1,Extreme Anxiety
2,3,5,1,3,2,2,4,2,3,Mild Anxiety
2,1,5,2,3,3,2,3,5,3,Severe Anxiety
4,2,3,4,5,1,2,1,4,2,Mild Anxiety
1,1,1,4,1,1,1,1,3,1,Extreme Anxiety
2,5,4,1,5,4,1,2,1,3,Moderate Anxiety
5,5,4,4,5,4,4,4,4,3,Mild Anxiety
4,5,4,1,2,5,3,3,2,1,Severe Anxiety
1,1,1,3,1,2,5,3,2,4,No Anxiety
2,1,4,4,1,4,4,2,3,3,Mild Anxiety
4,5,4,4,1,2,2,5,1,4,Moderate Anxiety
3,3,4,4,3,2,1,5,1,4,Extreme Anxiety
5,4,4,5,3,1,4,3,3,4,No Anxiety
5,2,2,2,1,5,1,3,5,5,Extreme Anxiety
4,1,5,2,5,3,1,5,1,4,Mild Anxiety
4,4,2,4,5,2,1,3,4,2,Mild Anxiety
5,3,2,5,3,3,4,3,3,3,Moderate Anxiety
3,5,2,3,3,2,3,4,5,5,Moderate Anxiety
4,2,3,3,3,2,3,2,5,1,Severe Anxiety
3,2,1,1,1,5,1,4,3,2,Moderate Anxiety
4,2,4,5,3,2,3,1,1,5,Severe Anxiety
3,4,4,2,3,1,4,5,2,1,Severe Anxiety
4,5,3,3,3,1,3,1,4,2,Severe Anxiety
1,4,3,2,5,3,3,5,4,3,Moderate Anxiety
4,5,1,4,1,4,4,2,2,1,Mild Anxiety
5,4,2,1,5,5,4,4,4,5,Severe Anxiety
1,2,2,5,4,1,3,5,3,5,Moderate Anxiety
1,1,2,4,1,2,5,2,2,1,Extreme Anxiety
3,4,5,5,5,1,3,2,4,1,Moderate Anxiety
4,5,5,1,1,5,5,1,3,4,Mild Anxiety
2,4,5,4,2,5,3,3,4,1,Extreme Anxiety
2,5,1,3,4,2,3,4,1,1,Moderate Anxiety
5,4,3,4,1,5,1,1,5,3,Extreme Anxiety
3,4,2,4,3,4,4,3,3,2,Severe Anxiety
1,5,3,4,1,4,4,3,2,3,Moderate Anxiety
4,2,5,5,2,5,5,3,4,3,Severe Anxiety
5,3,2,4,2,3,2,1,5,4,Moderate Anxiety
3,4,4,4,3,3,4,3,2,4,Severe Anxiety
3,3,3,3,4,2,4,5,5,1,Severe Anxiety
3,2,3,3,2,5,2,4,2,1,Mild Anxiety
4,5,2,2,1,2,3,1,5,4,Mild Anxiety
2,5,1,4,4,3,4,1,5,5,Severe Anxiety
5,1,4,1,3,1,5,1,3,5,Extreme Anxiety
5,3,3,2,5,2,5,3,5,5,Extreme Anxiety
2,4,4,2,5,2,3,3,3,2,Extreme Anxiety
1,1,5,3,4,5,3,2,4,4,Extreme Anxiety
1,2,2,1,2,1,4,5,2,2,Moderate Anxiety
2,1,3,5,1,5,2,1,2,2,Severe Anxiety
1,4,5,3,2,3,1,3,4,1,Mild Anxiety
1,3,2,3,2,3,5,3,5,3,Mild Anxiety
2,5,5,5,4,2,5,5,1,1,Mild Anxiety
4,5,5,4,4,4,5,1,4,4,Moderate Anxiety
1,5,5,1,4,3,4,3,4,4,Moderate Anxiety
2,2,3,4,2,3,3,5,2,1,Mild Anxiety
2,2,1,3,2,2,1,1,1,2,Mild Anxiety
1,3,3,2,1,3,2,3,4,4,Severe Anxiety
5,3,5,1,2,1,4,2,3,1,Moderate Anxiety
5,4,4,3,3,4,4,4,3,3,Extreme Anxiety
5,4,1,3,4,3,3,2,2,5,Severe Anxiety
5,1,1,1,5,3,1,5,5,5,Mild Anxiety
1,3,4,2,1,4,5,5,1,4,Moderate Anxiety
2,2,2,2,1,5,4,2,2,1,Extreme Anxiety
4,3,1,5,3,4,1,3,5,1,Mild Anxiety
1,3,3,5,3,2,1,5,3,5,Severe Anxiety
2,2,1,5,2,3,2,3,5,3,Severe Anxiety
2,2,4,4,1,5,4,3,4,3,Mild Anxiety
3,5,3,4,5,1,3,4,4,4,Extreme Anxiety
3,4,3,4,2,1,4,3,5,3,No Anxiety
1,5,3,4,1,5,4,4,1,1,Extreme Anxiety
3,4,2,5,3,4,4,2,5,2,No Anxiety
1,3,2,5,4,4,3,2,4,1,Moderate Anxiety
2,5,4,1,1,4,3,4,1,1,No Anxiety
1,2,1,1,1,2,5,2,2,1,Moderate Anxiety
3,2,1,3,1,4,1,3,2,5,Mild Anxiety
3,4,4,1,3,2,1,1,4,2,Severe Anxiety
4,3,5,1,3,2,5,4,4,1,Mild Anxiety
4,3,1,1,2,2,3,4,5,1,No Anxiety
1,2,2,5,5,1,1,4,1,4,No Anxiety
3,1,5,3,5,3,1,3,4,5,No Anxiety
3,1,3,5,1,2,3,4,5,2,Mild Anxiety
4,1,2,5,4,4,1,2,2,1,Mild Anxiety
2,5,2,1,5,3,5,5,1,4,Severe Anxiety
5,4,4,4,2,1,2,5,5,2,Severe Anxiety
2,5,4,4,5,2,2,5,4,2,Moderate Anxiety
2,5,5,2,2,3,1,2,4,3,No Anxiety
2,2,3,5,4,2,4,4,4,2,No Anxiety
3,3,4,2,1,1,5,5,2,4,Moderate Anxiety
3,3,2,3,5,4,5,4,4,3,Extreme Anxiety
5,5,4,2,2,1,2,5,3,5,Severe Anxiety
5,1,3,4,3,4,5,1,2,5,Mild Anxiety
3,3,1,3,3,5,4,2,2,3,No Anxiety
1,3,3,5,5,4,4,3,2,4,Extreme Anxiety
4,2,5,5,2,2,4,2,1,1,Extreme Anxiety
5,2,5,3,2,2,4,2,3,2,Moderate Anxiety
5,5,2,1,2,2,3,4,1,2,Moderate Anxiety
5,2,5,5,4,5,3,1,1,3,Moderate Anxiety
5,5,3,1,4,3,5,1,3,5,Extreme Anxiety
4,5,1,2,2,1,2,4,2,1,No Anxiety
3,2,2,1,2,5,5,2,5,4,Moderate Anxiety
5,1,3,1,4,4,5,3,5,2,Extreme Anxiety
5,5,2,1,2,5,3,1,2,1,Mild Anxiety
1,5,1,1,1,2,5,5,5,3,Moderate Anxiety
1,1,1,5,5,1,5,5,1,1,Extreme Anxiety
4,3,3,4,3,4,4,5,1,4,Moderate Anxiety
3,1,2,3,4,4,3,1,3,2,Mild Anxiety
5,3,4,3,3,2,5,2,4,1,No Anxiety
2,4,5,2,1,1,2,3,4,4,Moderate Anxiety
4,4,1,1,5,5,3,3,1,3,Moderate Anxiety
4,2,1,2,5,5,5,4,1,3,No Anxiety
3,4,1,4,2,1,3,3,2,2,No Anxiety
1,3,5,5,5,2,4,2,3,2,No Anxiety
1,5,2,2,2,4,1,2,5,4,Moderate Anxiety
4,5,1,1,1,5,4,5,1,3,Severe Anxiety
5,4,3,2,4,5,2,5,4,5,Moderate Anxiety
5,5,4,2,2,2,5,4,5,1,Extreme Anxiety
3,2,1,4,4,4,2,3,2,4,No Anxiety
5,2,4,3,5,5,3,4,3,1,Extreme Anxiety
4,5,4,2,5,2,5,1,2,1,Moderate Anxiety
2,5,3,1,3,4,3,1,4,4,Moderate Anxiety
1,1,4,4,4,2,3,2,1,4,Moderate Anxiety
2,3,5,2,5,5,4,2,2,5,Mild Anxiety
1,1,3,3,3,3,4,5,4,3,Extreme Anxiety
4,4,2,5,5,4,2,1,5,2,Mild Anxiety
1,3,5,4,1,3,3,2,4,3,No Anxiety
3,5,2,4,4,4,4,4,3,1,Mild Anxiety
1,3,5,2,4,5,1,1,5,4,Mild Anxiety
5,5,5,2,5,2,4,1,2,3,Extreme Anxiety
2,3,1,3,1,2,1,4,3,3,No Anxiety
1,5,4,2,5,1,4,2,1,5,Severe Anxiety
1,5,5,1,5,1,3,1,1,4,Extreme Anxiety
1,1,5,1,1,4,5,3,4,1,No Anxiety
1,1,4,1,4,5,3,2,5,4,Severe Anxiety
2,4,2,1,2,3,1,2,4,1,No Anxiety
3,3,1,3,3,4,4,2,4,3,Mild Anxiety
3,1,2,2,3,2,4,1,4,1,No Anxiety
4,1,2,3,2,5,4,1,1,3,Severe Anxiety
2,2,1,4,4,2,3,5,4,4,Extreme Anxiety
2,5,5,3,4,3,2,5,4,3,Extreme Anxiety
5,4,3,4,3,2,1,5,4,2,Moderate Anxiety
5,1,4,2,2,4,2,4,4,2,Moderate Anxiety
3,3,3,2,2,5,2,1,4,3,Extreme Anxiety
2,2,4,2,2,3,2,4,3,4,Extreme Anxiety
4,1,4,4,4,5,5,3,3,5,Severe Anxiety
2,4,4,4,3,5,5,1,1,2,Moderate Anxiety
1,3,5,1,2,1,2,2,3,2,Moderate Anxiety
5,3,3,2,5,3,3,4,3,1,Moderate Anxiety
2,4,5,2,2,4,4,5,1,3,Moderate Anxiety
5,1,2,1,2,2,2,4,3,5,Extreme Anxiety
1,5,5,5,5,5,3,3,2,4,Moderate Anxiety
2,3,1,5,2,5,3,5,1,3,Extreme Anxiety
3,5,1,1,4,2,2,4,3,4,Extreme Anxiety
2,1,3,5,2,5,2,2,5,5,Severe Anxiety
5,1,1,2,4,2,4,4,5,3,Severe Anxiety
4,4,2,2,3,2,4,2,1,3,Moderate Anxiety
1,5,3,1,1,3,1,4,1,1,Moderate Anxiety
3,3,3,1,5,1,2,1,3,3,Mild Anxiety
4,1,4,3,3,4,4,4,3,5,No Anxiety
5,5,2,3,1,4,4,5,1,2,Moderate Anxiety
5,1,3,4,2,5,3,5,2,3,Extreme Anxiety
1,1,2,2,4,5,4,2,2,2,Mild Anxiety
4,2,1,4,1,5,4,5,5,2,Severe Anxiety
1,2,3,1,4,5,5,1,1,2,Moderate Anxiety
3,4,1,2,4,5,3,2,3,1,Mild Anxiety
3,1,1,5,4,3,4,1,5,2,No Anxiety
3,1,5,1,2,5,5,4,1,1,Severe Anxiety
2,4,2,3,2,5,4,2,2,1,No Anxiety
4,4,1,4,1,3,2,2,5,5,Extreme Anxiety
5,5,4,3,1,3,5,4,5,4,Extreme Anxiety
2,5,4,2,4,1,3,2,3,1,No Anxiety
5,3,5,5,4,2,3,3,2,1,Extreme Anxiety
1,5,5,4,2,4,2,1,2,3,No Anxiety
3,3,1,4,3,2,2,1,2,1,Moderate Anxiety
4,5,5,5,3,2,4,3,1,4,No Anxiety
4,4,1,5,5,1,1,2,2,3,Moderate Anxiety
2,5,1,3,1,3,5,3,4,2,Extreme Anxiety
3,4,2,1,4,2,2,1,4,3,Severe Anxiety
5,1,2,3,3,3,4,4,5,3,No Anxiety
3,4,2,4,1,1,2,2,1,3,Severe Anxiety
4,2,1,5,2,3,2,4,3,4,Extreme Anxiety
1,3,5,1,1,1,1,1,4,5,No Anxiety
5,3,3,2,5,3,3,3,5,2,Severe Anxiety
1,5,4,2,4,3,1,5,3,5,Moderate Anxiety
4,3,3,1,1,1,5,2,1,3,Moderate Anxiety
2,1,3,4,5,2,5,4,4,4,No Anxiety
1,4,2,3,2,3,3,2,3,1,Severe Anxiety
1,1,4,2,2,2,1,4,3,2,No Anxiety
3,4,4,2,5,5,2,4,4,1,Severe Anxiety
4,1,4,2,4,5,2,1,4,5,Moderate Anxiety
1,1,4,5,2,4,4,1,2,1,Mild Anxiety
3,4,5,3,1,1,1,1,1,2,Severe Anxiety
4,5,5,3,2,5,4,5,5,3,Extreme Anxiety
1,1,1,2,1,2,1,2,3,4,Mild Anxiety
3,1,1,2,5,4,1,2,2,1,Severe Anxiety
1,2,3,1,3,3,1,4,5,3,Extreme Anxiety
3,3,4,4,1,2,1,3,2,2,Severe Anxiety
5,2,2,2,2,5,3,1,2,5,Moderate Anxiety
3,5,3,2,3,2,3,4,4,5,No Anxiety
3,3,4,2,3,1,4,2,1,5,Severe Anxiety
3,1,5,5,5,5,2,5,4,3,No Anxiety
5,1,4,2,4,1,3,2,5,5,Extreme Anxiety
4,3,4,1,3,3,2,3,3,2,Mild Anxiety
4,3,4,2,4,3,3,1,4,2,Extreme Anxiety
5,5,5,2,1,1,2,4,5,3,Mild Anxiety
4,2,4,3,2,2,1,5,2,5,Extreme Anxiety
4,4,3,4,1,5,5,1,1,5,Mild Anxiety
3,5,4,5,2,3,4,5,5,1,Mild Anxiety
4,4,4,1,3,1,1,3,2,4,No Anxiety
4,1,1,4,5,1,3,5,2,4,No Anxiety
2,4,5,4,5,5,2,4,4,3,Severe Anxiety
3,3,3,1,2,2,2,1,4,4,Moderate Anxiety
5,2,3,2,1,2,2,3,4,5,Moderate Anxiety
5,5,1,5,5,1,5,4,4,4,No Anxiety
2,3,4,2,3,2,4,3,3,4,Severe Anxiety
2,5,4,3,3,5,4,4,4,5,Extreme Anxiety
5,4,1,5,2,4,3,3,3,4,Mild Anxiety
3,2,2,4,1,4,4,3,1,3,Moderate Anxiety
5,3,3,2,1,4,2,3,2,5,Extreme Anxiety
4,3,5,5,1,3,2,2,1,1,Mild Anxiety
5,4,5,3,5,3,2,1,5,4,Severe Anxiety
4,1,2,4,1,4,1,4,1,5,Moderate Anxiety
1,5,4,4,4,1,1,1,5,3,Extreme Anxiety
3,1,1,4,3,1,4,2,3,1,Severe Anxiety
4,3,4,3,3,5,2,3,3,3,Moderate Anxiety
4,3,1,2,3,3,5,3,3,2,Severe Anxiety
1,5,4,4,1,2,3,5,5,2,Mild Anxiety
2,3,4,3,1,1,2,4,1,5,Mild Anxiety
4,3,2,2,4,1,2,3,4,4,Mild Anxiety
5,1,3,2,1,5,1,2,5,5,Severe Anxiety
4,4,4,5,2,1,4,4,2,5,No Anxiety
3,4,4,3,5,4,1,4,2,2,Severe Anxiety
3,3,3,3,4,2,5,1,2,1,No Anxiety
2,5,3,1,2,2,3,2,3,3,Extreme Anxiety
2,2,4,1,1,5,4,1,4,3,Severe Anxiety
2,2,2,4,5,3,3,5,2,5,Moderate Anxiety
3,3,2,1,3,5,3,1,2,5,Extreme Anxiety
1,1,2,4,4,5,1,3,5,3,Mild Anxiety
2,3,5,1,3,3,3,2,1,3,Extreme Anxiety
1,4,1,3,1,4,2,3,4,2,No Anxiety
5,1,1,2,1,1,1,5,1,5,Mild Anxiety
2,1,5,3,3,1,1,2,3,4,No Anxiety
3,4,2,5,5,5,4,2,4,5,Mild Anxiety
4,1,1,1,5,4,2,1,4,5,Moderate Anxiety
4,3,4,5,4,5,4,2,5,4,Severe Anxiety
3,2,5,5,5,1,1,4,3,5,Extreme Anxiety
2,1,4,1,2,3,5,5,4,3,Mild Anxiety
